"o_name","o_lat","o_lng","d_name","d_lat","d_lng","walk_duration","walk_duration_value","walk_distance","walk_distance_value"
"Institute of Mathematics and Computer Sciences",-22.0070347,-47.8949323,"Pizzaria Achei Pizza",-22.0075938,-47.8898109,"13 mins",809,"1.0 km",1050
"Institute of Mathematics and Computer Sciences",-22.0070347,-47.8949323,"Pizza Katzo!",-22.0115746,-47.8947065,"13 mins",809,"1.0 km",1050
"Institute of Mathematics and Computer Sciences",-22.0070347,-47.8949323,"Bella Capri - São Carlos",-22.0130811,-47.8856785,"13 mins",809,"1.0 km",1050
"Institute of Mathematics and Computer Sciences",-22.0070347,-47.8949323,"Pizzeria Monte Carlo - San Carlos",-22.012351,-47.892387,"13 mins",809,"1.0 km",1050
