"o_name","o_lat","o_lng","d_name","d_lat","d_lng","walk_duration","walk_duration_value","walk_distance","walk_distance_value"
"Stanford University",37.4274745,-122.169719,"Slavianskii Dom",37.4185512,-122.1653139,"15 mins",910,"1.2 km",1201
"Stanford University",37.4274745,-122.169719,"Willis Lounge",37.4211789,-122.1587958,"17 mins",995,"1.4 km",1354
"Stanford University",37.4274745,-122.169719,"Tresidder Oak Lounge",37.424509,-122.1710836,"5 mins",308,"0.4 km",399
"Stanford University",37.4274745,-122.169719,"Timoshenko Lounge",37.4220182,-122.1595986,"16 mins",933,"1.3 km",1268
"Stanford University",37.4274745,-122.169719,"Fairclough Lounge",37.4224104,-122.1599885,"15 mins",893,"1.2 km",1213
