"o_name","o_lat","o_lng","d_name","d_lat","d_lng","walk_duration","walk_duration_value","walk_distance","walk_distance_value"
"Institute of Mathematics and Computer Sciences",-22.0070347,-47.8949323,"Sun City - Comida Chinesa",-22.015352,-47.887964,"24 mins",1462,"1.9 km",1902
"Institute of Mathematics and Computer Sciences",-22.0070347,-47.8949323,"VIA MASSA ORIENTAL",-22.0168258,-47.8896274,"23 mins",1402,"1.9 km",1880
"Institute of Mathematics and Computer Sciences",-22.0070347,-47.8949323,"Woki Sushi e Yakissoba Delivery - Sāo Carlos",-22.0082189,-47.8910341,"12 mins",725,"0.9 km",949
